x,y,size,r,g,b
400,400,50,165,30,50
200,200,190,200,255,100
100,100,35,255,140,200
192,178,104,,,
76,229,142,,,
81,351,128,,,
375,290,107,,,
296,4,193,,,
54,64,147,34,40,34
279,165,132,177,105,177
267,334,110,170,212,170
394,174,170,251,110,251
183,307,159,116,195,116
94,199,191,59,126,59
188,67,106,119,42,119
389,352,119,247,224,247
0,360,137,0,229,0
225,98,107,143,62,143
50,280,126,31,178,31
308,311,193,196,198,196
228,241,122,145,153,145
84,167,120,53,106,53
288,131,145,183,83,183
72,341,129,45,217,45
327,104,165,208,66,208
294,270,186,187,172,187
92,291,109,58,185,58
116,82,110,73,52,73
163,215,146,103,137,103
359,371,146,228,236,228
192,373,157,122,237,122
333,197,173,212,125,212
305,45,136,194,28,194
168,39,155,107,24,107
5,81,187,3,51,3
74,256,114,47,163,47
222,107,172,141,68,141
129,138,159,82,87,82
232,225,119,147,143,147
12,376,167,7,239,7
299,307,149,190,195,190
366,69,117,233,43,233
110,31,196,70,19,70
69,157,154,43,100,43
107,189,195,68,120,68
264,126,102,168,80,168
147,283,103,93,180,93
96,355,145,61,226,61
347,278,191,221,177,221
341,120,150,217,76,217
282,35,188,179,22,179
6,14,183,3,8,3
171,86,126,109,54,109
93,158,145,59,100,59
21,233,199,13,148,13
59,394,180,37,251,37
254,301,144,161,191,161
153,237,137,97,151,97
167,370,106,106,235,106
253,399,199,161,254,161
355,384,124,226,244,226
355,197,160,226,125,226
381,38,141,242,24,242
260,51,101,165,32,165
208,129,136,132,82,132
99,43,120,63,27,63
36,31,182,22,19,22
69,157,178,43,100,43
150,137,180,95,87,95
197,7,122,125,4,125
297,120,198,189,76,189
190,214,159,121,136,121
25,295,196,15,188,15
219,342,105,139,218,139
295,240,162,188,153,188
331,338,127,211,215,211
90,366,100,57,233,57
356,204,103,226,130,226
380,24,120,242,15,242
270,41,105,172,26,172
23,47,102,14,29,14
156,85,189,99,54,99
68,155,189,43,98,43
142,293,188,90,186,90
59,333,158,37,212,37
314,341,132,200,217,200
339,395,124,216,251,216
393,379,156,250,241,250
390,142,154,248,90,248
218,144,152,138,91,138
231,237,190,147,151,147
170,310,112,108,197,108
195,355,137,124,226,124
152,127,127,96,80,96
